Timestamp,Host,Process,PID,Message
2025-06-09T10:45:12.964842+05:30,zero,CRON,55065,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T10:45:12.968898+05:30,zero,CRON,55065,pam_unix(cron:session): session closed for user root
2025-06-09T10:45:33.406965+05:30,zero,sudo,-,zero : PWD=/home/zero ; USER=root ; COMMAND=/usr/lib/linuxmint/mintUpdate/dpkg_lock_check.sh
2025-06-09T10:45:33.410626+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)
2025-06-09T10:45:33.640060+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T10:50:36.112376+05:30,zero,systemd-logind,1125,Watching system buttons on /dev/input/event14 (Soundcore Life Q10 (AVRCP))
2025-06-09T10:55:01.984674+05:30,zero,CRON,58965,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T10:55:01.991159+05:30,zero,CRON,58965,pam_unix(cron:session): session closed for user root
2025-06-09T11:00:02.002194+05:30,zero,CRON,60232,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T11:00:02.251192+05:30,zero,CRON,60232,pam_unix(cron:session): session closed for user root
2025-06-09T11:05:01.258758+05:30,zero,CRON,60940,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T11:05:01.262682+05:30,zero,CRON,60940,pam_unix(cron:session): session closed for user root
2025-06-09T11:13:33.408315+05:30,zero,sudo,-,zero : PWD=/home/zero ; USER=root ; COMMAND=/usr/bin/mint-refresh-cache
2025-06-09T11:13:33.410817+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)
2025-06-09T11:13:39.439485+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T11:14:33.326662+05:30,zero,sudo,-,zero : PWD=/home/zero ; USER=root ; COMMAND=/usr/bin/mint-refresh-cache
2025-06-09T11:14:33.327400+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)
2025-06-09T11:14:36.460170+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T11:15:01.274125+05:30,zero,CRON,67221,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T11:15:01.281635+05:30,zero,CRON,67221,pam_unix(cron:session): session closed for user root
2025-06-09T11:17:01.290040+05:30,zero,CRON,67321,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T11:17:01.294762+05:30,zero,CRON,67321,pam_unix(cron:session): session closed for user root
2025-06-09T11:20:02.785395+05:30,zero,sudo,-,zero : PWD=/home/zero ; USER=root ; COMMAND=/usr/lib/linuxmint/mintUpdate/dpkg_lock_check.sh
2025-06-09T11:20:02.786770+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)
2025-06-09T11:20:02.956915+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T11:25:01.601828+05:30,zero,CRON,69188,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T11:25:01.605925+05:30,zero,CRON,69188,pam_unix(cron:session): session closed for user root
2025-06-09T11:30:01.614470+05:30,zero,CRON,69282,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T11:30:01.618111+05:30,zero,CRON,69282,pam_unix(cron:session): session closed for user root
2025-06-09T11:35:01.626578+05:30,zero,CRON,69375,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T11:35:01.631552+05:30,zero,CRON,69375,pam_unix(cron:session): session closed for user root
2025-06-09T11:44:18.427410+05:30,zero,sudo,-,zero : TTY=pts/5 ; PWD=/home/zero/Downloads ; USER=root ; COMMAND=/usr/bin/mv Postman /opt/postman
2025-06-09T11:44:18.429098+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)
2025-06-09T11:44:18.433618+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T11:44:27.838372+05:30,zero,sudo,-,zero : TTY=pts/5 ; PWD=/home/zero/Downloads/Compressed ; USER=root ; COMMAND=/usr/bin/mv Postman /opt/postman
2025-06-09T11:44:27.839364+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)
2025-06-09T11:44:27.845567+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T11:44:32.261384+05:30,zero,sudo,-,zero : TTY=pts/5 ; PWD=/home/zero/Downloads/Compressed ; USER=root ; COMMAND=/usr/bin/ln -s /opt/postman/Postman /usr/bin/postman
2025-06-09T11:44:32.264176+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)
2025-06-09T11:44:32.267227+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T11:45:01.640186+05:30,zero,CRON,73096,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T11:45:01.644527+05:30,zero,CRON,73096,pam_unix(cron:session): session closed for user root
2025-06-09T11:55:01.667441+05:30,zero,CRON,74411,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T11:55:01.672577+05:30,zero,CRON,74411,pam_unix(cron:session): session closed for user root
2025-06-09T12:00:01.680546+05:30,zero,CRON,75247,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T12:00:01.876725+05:30,zero,CRON,75247,pam_unix(cron:session): session closed for user root
2025-06-09T12:05:01.892926+05:30,zero,CRON,75966,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T12:05:01.898589+05:30,zero,CRON,75966,pam_unix(cron:session): session closed for user root
2025-06-09T12:08:05.549429+05:30,zero,sudo,-,zero : TTY=pts/6 ; PWD=/home/zero/VSC/AiML/DeepLearning/tfservingtest ; USER=root ; COMMAND=/usr/local/bin/apt install tree
2025-06-09T12:08:05.550134+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by zero(uid=1000)
2025-06-09T12:08:20.073972+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T12:08:28.946776+05:30,zero,sudo,-,zero : TTY=pts/6 ; PWD=/home/zero/VSC/AiML/DeepLearning/tfservingtest ; USER=root ; COMMAND=/usr/local/bin/apt install tree
2025-06-09T12:08:28.947962+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by zero(uid=1000)
2025-06-09T12:08:29.743700+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T12:09:34.198437+05:30,zero,sudo,-,zero : PWD=/home/zero ; USER=root ; COMMAND=/usr/lib/linuxmint/mintUpdate/dpkg_lock_check.sh
2025-06-09T12:09:34.199729+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)
2025-06-09T12:09:34.403052+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T12:15:01.907789+05:30,zero,CRON,77584,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T12:15:01.912571+05:30,zero,CRON,77584,pam_unix(cron:session): session closed for user root
2025-06-09T12:17:01.921168+05:30,zero,CRON,77667,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T12:17:01.925847+05:30,zero,CRON,77667,pam_unix(cron:session): session closed for user root
2025-06-09T12:25:01.938512+05:30,zero,CRON,83353,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T12:25:01.943299+05:30,zero,CRON,83353,pam_unix(cron:session): session closed for user root
2025-06-09T12:30:01.956781+05:30,zero,CRON,83626,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T12:30:01.959550+05:30,zero,CRON,83626,pam_unix(cron:session): session closed for user root
2025-06-09T12:35:01.968481+05:30,zero,CRON,84497,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T12:35:01.972519+05:30,zero,CRON,84497,pam_unix(cron:session): session closed for user root
2025-06-09T12:45:01.982089+05:30,zero,CRON,86115,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T12:45:01.986415+05:30,zero,CRON,86115,pam_unix(cron:session): session closed for user root
2025-06-09T12:55:01.996760+05:30,zero,CRON,86497,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T12:55:02.001599+05:30,zero,CRON,86497,pam_unix(cron:session): session closed for user root
2025-06-09T13:00:01.010879+05:30,zero,CRON,86588,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T13:00:01.200692+05:30,zero,CRON,86588,pam_unix(cron:session): session closed for user root
2025-06-09T13:05:01.209738+05:30,zero,CRON,86719,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T13:05:01.213417+05:30,zero,CRON,86719,pam_unix(cron:session): session closed for user root
2025-06-09T13:13:33.736394+05:30,zero,sudo,-,zero : PWD=/home/zero ; USER=root ; COMMAND=/usr/bin/mint-refresh-cache
2025-06-09T13:13:33.737278+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)
2025-06-09T13:14:18.960205+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T13:14:33.742460+05:30,zero,sudo,-,zero : PWD=/home/zero ; USER=root ; COMMAND=/usr/bin/mint-refresh-cache
2025-06-09T13:14:33.743354+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)
2025-06-09T13:15:01.223295+05:30,zero,CRON,88508,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T13:15:01.227980+05:30,zero,CRON,88508,pam_unix(cron:session): session closed for user root
2025-06-09T13:15:15.145045+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T13:17:01.235714+05:30,zero,CRON,88712,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T13:17:01.241684+05:30,zero,CRON,88712,pam_unix(cron:session): session closed for user root
2025-06-09T13:25:01.251680+05:30,zero,CRON,88928,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T13:25:01.255879+05:30,zero,CRON,88928,pam_unix(cron:session): session closed for user root
2025-06-09T13:30:01.268909+05:30,zero,CRON,89509,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T13:30:01.271576+05:30,zero,CRON,89509,pam_unix(cron:session): session closed for user root
2025-06-09T13:35:01.280050+05:30,zero,CRON,89732,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T13:35:01.283926+05:30,zero,CRON,89732,pam_unix(cron:session): session closed for user root
2025-06-09T13:45:01.015946+05:30,zero,CRON,90438,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T13:45:01.020697+05:30,zero,CRON,90438,pam_unix(cron:session): session closed for user root
2025-06-09T13:55:01.033211+05:30,zero,CRON,91325,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T13:55:01.039705+05:30,zero,CRON,91325,pam_unix(cron:session): session closed for user root
2025-06-09T14:00:01.046603+05:30,zero,CRON,91857,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T14:00:01.232772+05:30,zero,CRON,91857,pam_unix(cron:session): session closed for user root
2025-06-09T14:05:01.242595+05:30,zero,CRON,92066,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T14:05:01.248743+05:30,zero,CRON,92066,pam_unix(cron:session): session closed for user root
2025-06-09T14:15:01.262076+05:30,zero,CRON,93104,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T14:15:01.266655+05:30,zero,CRON,93104,pam_unix(cron:session): session closed for user root
2025-06-09T14:17:01.273336+05:30,zero,CRON,93213,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T14:17:01.280083+05:30,zero,CRON,93213,pam_unix(cron:session): session closed for user root
2025-06-09T14:25:01.292391+05:30,zero,CRON,93711,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T14:25:01.298602+05:30,zero,CRON,93711,pam_unix(cron:session): session closed for user root
2025-06-09T14:30:01.306771+05:30,zero,CRON,93993,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T14:30:01.309436+05:30,zero,CRON,93993,pam_unix(cron:session): session closed for user root
2025-06-09T14:35:01.316553+05:30,zero,CRON,94274,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T14:35:01.320145+05:30,zero,CRON,94274,pam_unix(cron:session): session closed for user root
2025-06-09T14:45:01.331005+05:30,zero,CRON,95543,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T14:45:01.334442+05:30,zero,CRON,95543,pam_unix(cron:session): session closed for user root
2025-06-09T14:55:01.345597+05:30,zero,CRON,95985,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T14:55:01.350521+05:30,zero,CRON,95985,pam_unix(cron:session): session closed for user root
2025-06-09T15:00:01.498411+05:30,zero,CRON,96601,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T15:00:01.722966+05:30,zero,CRON,96601,pam_unix(cron:session): session closed for user root
2025-06-09T15:05:01.729465+05:30,zero,CRON,96787,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0)
2025-06-09T15:05:01.733161+05:30,zero,CRON,96787,pam_unix(cron:session): session closed for user root
2025-06-09T15:13:35.727310+05:30,zero,sudo,-,zero : PWD=/home/zero ; USER=root ; COMMAND=/usr/bin/mint-refresh-cache
2025-06-09T15:13:35.728405+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)
2025-06-09T15:13:53.166867+05:30,zero,sudo,-,pam_unix(sudo:session): session closed for user root
2025-06-09T15:14:35.674582+05:30,zero,sudo,-,zero : PWD=/home/zero ; USER=root ; COMMAND=/usr/bin/mint-refresh-cache
2025-06-09T15:14:35.678113+05:30,zero,sudo,-,pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1000)
