,Unnamed: 0,url_length,hostname_length,path_length,has_ip,has_at_symbol,count_dots,count_hyphens,uses_https,suspicious_words
572849,572849,42,0,42,False,False,4,0,False,0
65906,65906,60,0,60,False,False,1,5,False,0
90351,90351,37,0,37,False,False,2,2,False,0
480094,480094,51,0,51,False,False,2,0,False,0
67849,67849,26,0,26,False,False,1,0,False,0
345249,345249,55,0,55,False,False,2,0,False,0
14480,14480,94,14,44,False,False,2,3,False,0
617189,617189,35,0,35,False,False,3,2,False,0
636758,636758,36,0,25,False,False,2,0,False,0
379082,379082,37,0,37,False,False,1,2,False,0
276459,276459,47,0,47,False,False,2,0,False,0
88757,88757,58,15,36,False,False,2,0,False,0
168460,168460,98,0,46,False,False,1,3,False,0
92187,92187,59,0,59,False,False,2,2,False,0
226097,226097,90,6,77,False,False,1,0,False,0
475285,475285,27,0,27,False,False,1,0,False,0
390841,390841,67,0,67,False,False,2,6,False,0
382218,382218,11,0,11,False,False,1,0,False,0
145436,145436,88,0,88,False,False,3,6,False,0
28483,28483,26,0,26,False,False,1,0,False,0
189273,189273,73,0,40,False,False,4,2,False,0
264134,264134,64,17,40,False,False,1,6,False,0
335833,335833,64,0,64,False,False,1,4,False,0
603242,603242,26,0,26,False,False,2,0,False,0
486145,486145,28,0,28,False,False,2,1,False,0
403063,403063,115,17,91,False,False,1,8,False,0
286104,286104,9,0,9,False,False,1,0,False,0
356164,356164,106,11,8,False,False,1,0,False,0
369442,369442,38,0,38,False,False,2,0,False,0
227931,227931,80,15,10,False,False,3,0,False,0
272276,272276,41,19,15,False,False,3,0,False,0
328035,328035,82,19,10,False,False,2,0,False,0
383898,383898,85,28,50,False,False,3,4,False,0
645100,645100,37,0,37,False,False,5,0,False,0
503744,503744,33,0,33,False,False,2,0,False,0
356085,356085,105,16,36,False,False,4,1,False,0
492218,492218,104,10,54,False,False,3,1,True,0
265563,265563,36,0,36,False,False,2,1,False,0
471374,471374,42,11,24,False,False,3,1,False,0
335644,335644,29,0,29,False,False,1,0,False,0
561643,561643,55,0,55,False,False,2,0,False,2
478719,478719,35,0,35,False,False,2,0,False,0
132505,132505,23,0,23,False,False,1,1,False,0
119204,119204,50,0,28,False,False,1,1,False,0
611429,611429,75,0,75,False,False,4,2,False,0
591622,591622,63,0,63,False,False,3,1,False,0
588406,588406,168,0,168,False,False,5,3,False,0
190793,190793,42,0,42,False,False,1,0,False,0
445712,445712,25,0,25,False,False,2,0,False,0
398592,398592,37,0,37,False,False,1,0,False,0
111224,111224,71,0,71,False,False,1,6,False,0
530461,530461,263,11,78,False,False,4,1,True,1
277910,277910,32,0,32,False,False,2,0,False,0
33239,33239,119,21,10,False,False,3,1,False,0
644330,644330,34,0,34,False,False,4,0,False,0
10624,10624,112,0,112,False,False,3,0,False,0
108909,108909,32,0,32,False,False,2,0,False,0
564613,564613,33,0,33,False,False,2,0,False,0
454000,454000,23,0,23,False,False,2,0,False,0
559520,559520,32,0,32,False,False,3,0,False,0
393541,393541,22,0,22,False,False,1,0,False,0
6464,6464,76,0,76,False,False,1,8,False,0
521613,521613,31,14,10,False,False,3,1,False,0
399496,399496,19,0,19,False,False,1,0,False,0
457794,457794,121,17,97,False,False,1,9,False,0
365530,365530,46,0,31,False,False,2,0,False,0
499236,499236,98,6,85,False,False,1,11,False,0
33167,33167,19,0,19,False,False,1,0,False,0
143861,143861,44,0,44,False,False,1,1,False,0
309358,309358,59,0,59,False,False,2,2,False,0
52984,52984,39,0,39,False,False,3,0,False,0
447322,447322,58,0,58,False,False,2,0,False,0
606380,606380,27,0,27,False,False,3,0,False,0
217434,217434,78,0,78,False,False,2,3,False,0
274297,274297,81,13,61,False,False,2,6,False,0
494403,494403,54,21,26,False,False,4,2,False,0
166468,166468,39,0,39,False,False,4,0,False,0
86484,86484,31,0,17,False,False,1,2,False,0
158782,158782,87,19,61,False,False,2,2,False,0
141461,141461,158,12,10,False,False,3,0,False,0
329988,329988,12,0,12,False,False,1,0,False,0
613786,613786,22,0,22,False,False,3,0,False,0
466141,466141,26,0,26,False,False,2,0,False,0
25229,25229,40,0,40,False,False,2,0,False,0
53046,53046,100,20,10,False,False,4,0,False,0
612993,612993,23,0,23,False,False,2,0,False,0
57240,57240,41,0,41,False,False,2,0,False,0
318936,318936,47,0,47,False,False,2,0,False,0
168283,168283,40,0,40,False,False,1,0,False,0
526426,526426,23,10,5,False,False,1,0,True,0
317593,317593,20,0,20,False,False,2,0,False,0
376004,376004,56,0,56,False,False,2,5,False,0
157716,157716,89,0,89,False,False,1,10,False,0
238752,238752,72,9,56,False,False,1,0,False,0
470207,470207,34,0,34,False,False,1,1,False,0
334962,334962,35,0,35,False,False,2,0,False,0
383727,383727,48,0,31,False,False,2,0,False,0
234160,234160,56,0,56,False,False,3,2,False,0
442566,442566,85,22,10,False,False,4,0,False,0
