,url_length,hostname_length,path_length,query_length,has_ip,has_at_symbol,count_dots,count_hyphens,count_slashes,count_underscores,count_question_marks,count_equals,count_ampersands,count_digits,count_uppercase,count_lowercase,digit_ratio,uppercase_ratio,special_char_count,subdomain_count,max_segment_length,avg_segment_length,url_entropy,hostname_entropy,path_entropy,uses_https,suspicious_words,count_percent,count_semicolons,count_colons,count_brackets,count_plus,count_asterisk,path_depth,query_params,max_consecutive_digits,max_consecutive_letters,hostname_digit_ratio,path_digit_ratio,domain_length,tld_length,vowel_consonant_ratio,unique_char_ratio,numeric_domain_ratio,shortening_service,suspicious_tld
73840,-0.32110867,-0.6489945,-0.08381794,-0.21509846,-0.13876878,-0.12997864,-0.37333798,0.46833542,-0.32242018,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.4244795,-0.1802945,-0.2272996,-0.6716428,-0.4285961,-0.2241128,0.112404324,-0.9087396,-0.876676,-0.8368203,-1.3796072,0.4741842,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,-0.27889544,-0.68225485,-0.6455688,-0.2335685,-0.5758652,-0.8903257,0.013864466,0.06835501,-0.4786237,-0.22330509,-0.2556622,-0.072919846
63333,-0.59882057,-0.10593886,-0.7429642,-0.21509846,-0.13876878,-0.12997864,-0.37333798,-0.4341171,-0.9059022,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.4244795,-0.1802945,-0.61619484,-0.6716428,-0.4285961,-0.2241128,0.112404324,-0.12163975,-0.27613476,-0.006169364,0.24437392,-0.33997253,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,-0.27889544,-0.68225485,-0.24663068,-0.2335685,-0.5758652,-0.04800568,0.013864466,1.1533238,1.4221709,-0.22330509,-0.2556622,-0.072919846
66165,-0.1715715,-0.37746668,0.11004861,-0.21509846,-0.13876878,-0.12997864,-0.37333798,0.017109161,1.428026,-0.2848693,-0.3530344,-0.28930125,-0.16986519,0.06858503,-0.1802945,-0.26618913,0.49186546,-0.4285961,-0.2241128,0.112404324,-0.51518965,-0.5764055,0.84642464,-0.1393277,0.6383015,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,1.6639124,-0.27889544,0.23221964,-0.6455688,-0.2335685,0.85502905,-0.46916574,0.013864466,-0.23954166,0.4692392,-0.22330509,-0.2556622,-0.072919846
492723,-0.47064584,0.30135286,-0.58787096,-0.21509846,-0.13876878,-0.12997864,0.3340256,-0.4341171,-0.32242018,-0.2848693,-0.3530344,-0.28930125,-0.16986519,0.06858503,-0.1802945,-0.7328634,0.87754244,-0.4285961,-0.2241128,0.112404324,-0.51518965,-0.29257348,-0.08363831,1.0034775,-0.17475861,-1.0827192,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.13149805,-0.27889544,1.1466942,-1.0445069,2.2882442,-0.5758652,-0.8903257,-1.0802006,0.033562057,0.79056543,2.0301535,-0.2556622,-0.072919846
292626,-0.42792094,0.43711677,-0.58787096,-0.21509846,-0.13876878,-0.12997864,0.3340256,-0.4341171,-0.9059022,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.4244795,-0.1802945,-0.34396818,-0.6716428,-0.4285961,-0.2241128,0.112404324,0.6654601,0.32440633,-1.0265564,0.50023276,-0.08358243,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,-0.27889544,-0.68225485,0.55124557,-0.2335685,-0.5758652,0.7943144,0.013864466,-0.45001864,-0.109326474,-0.22330509,-0.2556622,-0.072919846
307887,-0.04339679,0.9801724,-0.045044627,-0.21509846,-0.13876878,-0.12997864,0.3340256,0.017109161,0.26106188,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.26012468,-0.1802945,0.16159564,-0.3225903,-0.4285961,-0.2241128,0.112404324,1.45256,0.9249476,-0.15929534,0.67025554,0.43860927,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,0.46697214,-0.27889544,-0.07260519,-0.44609973,-0.2335685,-0.025521256,1.6366345,0.013864466,-0.23051348,-0.6107501,-0.22330509,-0.2556622,-0.072919846
183459,0.19159019,-0.51323056,0.8079682,-0.21509846,-0.13876878,-0.12997864,-0.37333798,3.6269193,-0.32242018,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.17794725,-0.1802945,0.31715375,-0.22918192,-0.4285961,-0.2241128,0.112404324,-0.7119646,-0.7265407,-0.067203306,-1.5914661,0.5478385,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,-0.27889544,-0.07260519,-0.8450379,-0.2335685,-0.12871076,-0.6797458,0.013864466,0.668797,-0.84271973,-0.22330509,3.9114115,-0.072919846
124394,0.25567755,0.16558896,-0.16136456,0.3621465,-0.13876878,-0.12997864,0.3340256,0.46833542,-0.32242018,0.55540264,1.7101827,1.6237794,0.8311587,0.23293988,-0.1802945,0.27826422,0.46041933,-0.4285961,0.6277297,0.112404324,0.2719102,0.024135765,1.5662055,0.41857058,0.5930866,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.13149805,1.4557962,0.53704447,0.15230744,-0.2335685,-0.5758652,0.37315437,0.013864466,0.14281386,-0.0780526,-0.22330509,-0.2556622,-0.072919846
413937,-0.7269953,-1.0562862,-0.7041909,-0.21509846,-0.13876878,-0.12997864,-1.0807016,-0.4341171,-0.9059022,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.26012468,-0.1802945,-0.88842154,0.07632683,-0.4285961,-0.2241128,-1.2088159,-0.7119646,-0.42627013,-0.24988486,0.23894602,-0.19097379,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,-0.27889544,-0.37743002,-0.8450379,-0.2335685,1.0140172,-0.6797458,0.013864466,-1.5189139,2.2009761,-0.22330509,3.9114115,-0.072919846
108104,0.5333894,0.029825043,1.2732478,-0.21509846,-0.13876878,-0.12997864,0.3340256,3.6269193,-0.9059022,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.26012468,-0.1802945,0.97827566,-0.43091694,-0.4285961,-0.2241128,0.112404324,0.07513522,-0.12599961,0.48278567,0.27321413,0.8067727,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,-0.27889544,-0.07260519,-0.04716162,-0.2335685,-0.33738282,0.16257435,0.013864466,-0.390267,-1.0669527,-0.22330509,-0.2556622,-0.072919846
445038,-0.34247112,-0.37746668,-0.20013787,-0.21509846,-0.13876878,-0.12997864,-0.37333798,-0.4341171,0.26106188,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.17794725,-0.1802945,-0.34396818,0.011285961,-0.4285961,-0.2241128,0.112404324,-0.9087396,-0.5764055,-0.6453886,-0.49859735,0.36188504,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.13149805,-0.27889544,0.23221964,0.15230744,-0.2335685,0.3997445,-0.8903257,0.013864466,0.92427486,-0.05240375,-0.22330509,-0.2556622,-0.072919846
245455,1.6228746,1.387464,-0.20013787,1.8577358,-0.13876878,-0.12997864,0.3340256,0.46833542,-0.9059022,3.0762184,1.7101827,3.5368602,2.8332067,0.3151173,-0.10369204,2.339409,0.011285961,-0.2960213,2.6153622,0.112404324,0.46868518,1.3753535,1.8282342,1.6555355,0.45512065,-1.0827192,3.2097104,-0.06929124,3.6616337,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,3.1904879,0.53704447,-0.24663068,1.9048321,-0.25066194,0.5837344,0.013864466,0.16077848,-1.5850884,1.5828598,-0.2556622,-0.072919846
430398,-0.022034336,-0.92052233,0.57532835,-0.21509846,-0.13876878,-0.12997864,-0.37333798,-0.4341171,0.84454393,0.55540264,-0.3530344,-0.28930125,-0.16986519,-0.4244795,-0.027089573,0.12270613,-0.6716428,0.3636573,-0.2241128,-1.2088159,-0.51518965,-0.12768255,-0.078344196,-0.5490737,0.7481806,-1.0827192,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,1.0654423,-0.27889544,-0.68225485,-0.6455688,-0.2335685,-0.5758652,-0.46916574,0.013864466,0.73471886,-0.47332117,-0.22330509,-0.2556622,-0.072919846
84503,0.04205302,-0.51323056,0.536555,-0.21509846,-0.13876878,-0.12997864,-0.37333798,-0.4341171,0.26106188,-0.2848693,-0.3530344,-0.28930125,-0.16986519,1.0547141,-0.027089573,-0.30507866,2.2734873,0.14313272,-0.2241128,0.112404324,-0.7119646,-0.7265407,1.1223251,-1.3021778,0.90422225,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,0.46697214,-0.27889544,4.804592,0.15230744,-0.2335685,2.5651221,-0.6797458,0.013864466,-0.35357705,0.2161167,-0.22330509,-0.2556622,-0.072919846
203447,-0.7269953,-1.1920502,-0.66541755,-0.21509846,-0.13876878,-0.12997864,-0.37333798,-0.4341171,-0.9059022,0.55540264,-0.3530344,-0.28930125,-0.16986519,-0.4244795,-0.027089573,-0.96620053,-0.6716428,0.8782127,-0.2241128,0.112404324,-1.4990646,-1.4772172,-0.85030264,-3.030418,0.09779778,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,-0.27889544,-0.68225485,-1.243976,-0.2335685,-0.5758652,-1.732646,0.013864466,-1.5189139,1.6263705,-0.22330509,-0.2556622,-0.072919846
183250,-0.0006718838,-0.6489945,0.4977817,-0.21509846,-0.13876878,-0.12997864,-0.37333798,1.370788,-0.32242018,-0.2848693,-0.3530344,-0.28930125,-0.16986519,0.06858503,-0.1802945,0.04492708,0.34173533,-0.4285961,-0.2241128,0.112404324,-0.9087396,-0.876676,0.5090684,-1.5345832,0.68872017,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.13149805,-0.27889544,1.1466942,-0.04716162,-0.2335685,0.4973055,-0.8903257,0.013864466,0.058978964,-0.314624,-0.22330509,-0.2556622,-0.072919846
194371,-0.15020905,0.16558896,-0.0062713195,-0.21509846,-0.13876878,-0.12997864,0.3340256,-0.4341171,0.26106188,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.4244795,-0.1802945,0.0838166,-0.6716428,-0.4285961,-0.2241128,0.112404324,0.2719102,0.024135765,-1.0317334,0.20160387,0.293846,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,0.46697214,-0.27889544,-0.68225485,0.15230744,-0.2335685,-0.5758652,0.37315437,0.013864466,-1.4359251,-0.6352952,-0.22330509,-0.2556622,-0.072919846
294764,0.3624898,-0.6489945,1.156928,-0.21509846,-0.13876878,-0.12997864,-0.37333798,1.8220143,0.26106188,-0.2848693,-0.3530344,-0.28930125,-0.16986519,1.0547141,0.12611535,0.006037555,1.7142855,0.49774936,-0.2241128,0.112404324,-0.9087396,-0.876676,1.4049529,-1.3796072,0.9554333,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,0.46697214,-0.27889544,2.3659935,0.15230744,-0.2335685,1.6834413,-0.8903257,0.013864466,0.7715756,-0.40227118,-0.22330509,-0.2556622,-0.072919846
38153,-0.4492834,0.16558896,-0.54909766,-0.21509846,-0.13876878,-0.12997864,1.0413892,-0.4341171,-0.9059022,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.4244795,-0.1802945,-0.4217472,-0.6716428,-0.4285961,-0.2241128,1.4336245,-0.31841472,-0.76407456,-0.36971596,0.48902,0.03424659,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,-0.27889544,-0.68225485,-0.44609973,-0.2335685,-0.5758652,-0.2585857,3.2960594,-1.6577313,0.3704598,-0.22330509,-0.2556622,-0.072919846
91033,-0.7483577,-0.37746668,-0.89805746,-0.21509846,-0.13876878,-0.12997864,-0.37333798,-0.4341171,-0.32242018,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.4244795,-0.1802945,-0.927311,-0.6716428,-0.4285961,-0.2241128,0.112404324,-0.31841472,-0.5764055,-1.5365316,0.21994191,-1.2967589,-1.0827192,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,-0.27889544,-0.68225485,-0.44609973,-0.2335685,-0.5758652,-0.2585857,3.2960594,-0.5645433,1.2192318,-0.22330509,-0.2556622,-0.072919846
430571,0.08477792,1.1159363,-0.62664425,0.28343126,-0.13876878,7.693571,1.0413892,0.017109161,-0.9059022,-0.2848693,1.7101827,0.6672391,-0.16986519,-0.34230208,-0.1802945,0.27826422,-0.39380473,-0.4285961,0.3437822,0.112404324,1.6493349,1.1398145,0.7193074,1.3333093,-0.06744243,-1.0827192,3.2097104,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,0.5884504,-0.37743002,-0.44609973,0.31209403,-0.5758652,1.8472145,0.013864466,1.1756066,-0.36833543,0.23880225,-0.2556622,-0.072919846
