source_ip,user,event_type,timestamp,attempts_in_30s,unique_users_in_30s,invalid_user,success_after_fail,bruteforce
10.0.173.40,test,failed,2025-06-20 18:20:36.347098,15,4,0,0,1
192.168.28.24,alice,success,2025-06-20 18:30:58.337596,3,1,0,1,0
10.0.201.208,guest,failed,2025-06-20 18:43:17.343968,11,2,1,0,1
192.168.230.84,bob,success,2025-06-20 19:03:06.341184,3,2,0,1,0
10.0.223.163,admin,failed,2025-06-20 18:15:22.343704,11,5,1,0,1
10.0.86.35,user,failed,2025-06-20 18:23:17.343509,9,5,1,0,1
192.168.9.171,charlie,success,2025-06-20 18:33:24.341381,2,2,0,1,0
10.0.158.172,user,failed,2025-06-20 18:24:13.346329,14,4,0,0,1
192.168.204.231,bob,success,2025-06-20 18:54:54.335699,2,2,0,1,0
10.0.189.167,root,failed,2025-06-20 18:34:39.343910,7,3,1,0,1
192.168.248.198,charlie,failed,2025-06-20 18:33:54.335643,1,1,0,0,0
10.0.2.97,guest,failed,2025-06-20 18:45:26.343726,14,2,1,0,1
10.0.109.253,guest,failed,2025-06-20 18:17:28.342585,9,3,0,0,1
192.168.247.45,alice,success,2025-06-20 18:35:41.339140,2,1,0,1,0
192.168.201.53,admin,success,2025-06-20 18:33:42.337722,3,1,0,1,0
192.168.204.231,alice,success,2025-06-20 18:50:40.337090,3,1,0,1,0
192.168.135.64,bob,failed,2025-06-20 18:14:49.340179,2,1,0,0,0
192.168.149.169,admin,failed,2025-06-20 19:09:00.336076,1,1,0,0,0
10.0.202.71,test,failed,2025-06-20 19:09:15.345832,10,2,1,0,1
10.0.111.221,root,success,2025-06-20 18:59:05.347054,14,5,1,1,1
192.168.39.122,alice,failed,2025-06-20 18:21:59.339742,2,1,0,0,0
10.0.252.38,guest,failed,2025-06-20 18:43:40.345938,10,2,1,0,1
10.0.135.66,root,failed,2025-06-20 18:51:18.347825,15,2,1,0,1
10.0.29.209,root,success,2025-06-20 18:57:26.342364,9,2,1,1,1
10.0.248.222,guest,failed,2025-06-20 18:22:23.347466,12,5,1,0,1
192.168.85.91,admin,success,2025-06-20 18:28:25.335902,3,2,0,1,0
10.0.201.33,root,failed,2025-06-20 19:04:42.342944,11,4,0,0,1
192.168.88.236,bob,success,2025-06-20 18:16:55.341554,3,2,0,1,0
192.168.42.173,charlie,failed,2025-06-20 18:51:39.340462,1,1,0,0,0
192.168.111.91,admin,success,2025-06-20 18:37:59.335456,2,2,0,1,0
192.168.210.31,bob,success,2025-06-20 18:38:14.339434,1,1,0,1,0
192.168.150.135,bob,success,2025-06-20 19:03:16.341418,1,1,0,1,0
192.168.106.155,charlie,success,2025-06-20 19:07:29.339046,2,2,0,1,0
192.168.228.112,bob,success,2025-06-20 18:24:41.341194,1,1,0,1,0
10.0.224.173,root,failed,2025-06-20 18:39:32.342347,7,2,0,0,1
192.168.96.176,alice,failed,2025-06-20 18:49:41.338202,1,1,0,0,0
10.0.224.19,guest,failed,2025-06-20 18:15:16.345616,7,2,1,0,1
10.0.88.8,guest,failed,2025-06-20 18:25:57.343712,9,2,1,0,1
10.0.181.77,test,failed,2025-06-20 18:50:01.342334,7,5,1,0,1
192.168.89.243,charlie,success,2025-06-20 19:07:40.336962,1,1,0,1,0
192.168.24.58,alice,success,2025-06-20 18:41:26.336053,1,1,0,1,0
10.0.246.249,user,failed,2025-06-20 18:30:10.347506,14,5,0,0,1
