source_ip,user,event_type,timestamp,attempts_in_30s,unique_users_in_30s,invalid_user,success_after_fail,bruteforce
10.0.58.185,admin,failed,2025-06-20 19:28:47.426758,9,2,1,0,1
192.168.95.113,alice,success,2025-06-20 19:35:34.312410,3,1,0,1,0
10.0.125.99,root,failed,2025-06-20 19:50:31.385978,14,2,1,0,1
192.168.219.211,bob,success,2025-06-20 19:33:10.354536,1,1,0,1,0
10.0.44.232,guest,failed,2025-06-20 19:46:50.382830,4,4,0,0,1
10.0.216.187,admin,failed,2025-06-20 19:45:00.381697,14,3,0,0,1
192.168.24.45,admin,success,2025-06-20 19:38:22.357088,3,2,0,1,0
10.0.143.165,root,success,2025-06-20 19:40:21.416240,14,5,1,1,1
192.168.53.183,charlie,success,2025-06-20 19:10:17.288986,4,3,0,1,0
10.0.231.100,guest,failed,2025-06-20 18:56:39.385256,6,4,1,0,1
192.168.20.107,charlie,success,2025-06-20 19:14:12.288269,1,1,0,1,0
10.0.251.21,admin,failed,2025-06-20 19:37:03.383043,3,3,0,0,1
10.0.37.112,root,failed,2025-06-20 19:52:15.370193,13,8,0,0,1
192.168.252.230,alice,success,2025-06-20 19:05:39.330543,3,3,0,1,0
192.168.168.159,charlie,success,2025-06-20 19:53:55.313953,2,1,0,1,0
192.168.101.220,alice,failed,2025-06-20 19:26:10.306437,2,1,0,0,0
192.168.236.31,alice,success,2025-06-20 19:12:54.342674,2,2,0,1,0
192.168.200.10,charlie,success,2025-06-20 19:32:46.294517,2,1,0,1,0
10.0.32.34,root,failed,2025-06-20 19:09:25.409811,6,3,0,0,1
10.0.139.164,root,failed,2025-06-20 19:50:02.425963,13,7,0,0,1
192.168.98.35,admin,success,2025-06-20 19:10:00.336963,2,2,0,1,0
10.0.245.106,test,failed,2025-06-20 19:50:44.411176,9,6,1,0,1
10.0.209.61,test,failed,2025-06-20 19:41:48.436981,10,2,1,0,1
10.0.91.172,user,failed,2025-06-20 19:44:21.367646,5,3,1,0,1
